Ship Number,Trip Number,Tow Number
AVALON VOYAGER,2,2
Comments
"ZONE 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sun Aug 02 08:16:19 2020,02-Aug-2020,101625,47 24.539500 N,064 5.596100 W,2.9,58.4,A,Primary,Headline,1.061224,D,S,62584.000000
Sun Aug 02 08:16:25 2020,02-Aug-2020,101626,47 24.539900 N,064 5.595000 W,3.0,58.3,A,DoorSpread,DoorMaster,0.000000,E,S,138903.000000
Sun Aug 02 08:16:26 2020,02-Aug-2020,101627,47 24.540500 N,064 5.593900 W,3.1,58.0,A,Depth,Depth,9.907407,D,P,164364.000000
Sun Aug 02 08:16:26 2020,02-Aug-2020,101628,47 24.541000 N,064 5.592700 W,3.2,57.9,A,Depth,Depth,9.907407,D,P,164364.000000
Sun Aug 02 08:16:26 2020,02-Aug-2020,101629,47 24.541500 N,064 5.591400 W,3.3,57.6,A,Depth,Depth,9.907407,D,P,164364.000000
Sun Aug 02 08:16:26 2020,02-Aug-2020,101630,47 24.542100 N,064 5.590000 W,3.5,57.5,A,Depth,Depth,9.907407,D,P,164364.000000
Sun Aug 02 08:16:31 2020,02-Aug-2020,101631,47 24.542700 N,064 5.588600 W,3.6,57.6,A,DoorSpread,DoorMaster,3.365000,D,S,243500.000000
Sun Aug 02 08:16:31 2020,02-Aug-2020,101632,47 24.543400 N,064 5.587100 W,3.8,57.5,A,DoorSpread,DoorMaster,3.365000,D,S,243500.000000
Sun Aug 02 08:16:31 2020,02-Aug-2020,101633,47 24.544100 N,064 5.585700 W,3.9,57.2,A,DoorSpread,DoorMaster,3.365000,D,S,243500.000000
Sun Aug 02 08:16:31 2020,02-Aug-2020,101634,47 24.544900 N,064 5.584100 W,4.1,57.0,A,DoorSpread,DoorMaster,3.365000,D,S,243500.000000
Sun Aug 02 08:16:31 2020,02-Aug-2020,101635,47 24.545700 N,064 5.582300 W,4.3,57.1,A,DoorSpread,DoorMaster,3.365000,D,S,243500.000000
Sun Aug 02 08:16:31 2020,02-Aug-2020,101636,47 24.546300 N,064 5.580500 W,4.4,57.0,A,DoorSpread,DoorMaster,3.365000,D,S,243500.000000
Sun Aug 02 08:16:36 2020,02-Aug-2020,101637,47 24.547000 N,064 5.578800 W,4.5,57.1,A,DoorSpread,DoorMaster,3.555000,D,S,414434.000000
