Ship Number,Trip Number,Tow Number
AVALON VOYAGER,3,11
Comments
"zone 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,09-Aug-2020,213022,48 23.270300 N,063 22.231500 W,3.2,156.6,A,,,,,,
,09-Aug-2020,213023,48 23.269600 N,063 22.231000 W,3.1,156.5,A,,,,,,
Sun Aug 09 19:30:23 2020,09-Aug-2020,213024,48 23.268800 N,063 22.230500 W,3.1,156.4,A,DoorSpread,DoorMaster,0.225000,D,P,22736.000000
Sun Aug 09 19:30:23 2020,09-Aug-2020,213025,48 23.268100 N,063 22.230100 W,3.0,156.3,A,DoorSpread,DoorMaster,0.225000,D,P,22736.000000
Sun Aug 09 19:30:23 2020,09-Aug-2020,213026,48 23.267400 N,063 22.229700 W,3.0,156.3,A,DoorSpread,DoorMaster,0.225000,D,P,22736.000000
Sun Aug 09 19:30:23 2020,09-Aug-2020,213027,48 23.266700 N,063 22.229200 W,3.0,156.2,A,DoorSpread,DoorMaster,0.225000,D,P,22736.000000
Sun Aug 09 19:30:23 2020,09-Aug-2020,213028,48 23.266000 N,063 22.228700 W,2.9,156.0,A,DoorSpread,DoorMaster,0.225000,D,P,22736.000000
Sun Aug 09 19:30:28 2020,09-Aug-2020,213029,48 23.265400 N,063 22.228200 W,2.8,155.9,A,DoorSpread,DoorMaster,0.000000,E,S,532706.000000
Sun Aug 09 19:30:28 2020,09-Aug-2020,213030,48 23.264800 N,063 22.227600 W,2.8,155.7,A,DoorSpread,DoorMaster,0.000000,E,S,532706.000000
Sun Aug 09 19:30:28 2020,09-Aug-2020,213031,48 23.264100 N,063 22.227000 W,2.8,155.6,A,DoorSpread,DoorMaster,0.000000,E,S,532706.000000
Sun Aug 09 19:30:28 2020,09-Aug-2020,213032,48 23.263400 N,063 22.226600 W,2.7,155.2,A,DoorSpread,DoorMaster,0.000000,E,S,532706.000000
Sun Aug 09 19:30:32 2020,09-Aug-2020,213033,48 23.262700 N,063 22.226100 W,2.7,154.8,A,Primary,Headline,1.183673,D,S,120604.000000
Sun Aug 09 19:30:33 2020,09-Aug-2020,213034,48 23.262100 N,063 22.225700 W,2.7,154.9,A,DoorSpread,DoorMaster,0.000000,E,S,537430.000000
Sun Aug 09 19:30:33 2020,09-Aug-2020,213035,48 23.261400 N,063 22.225400 W,2.6,154.9,A,DoorSpread,DoorMaster,0.000000,E,S,537430.000000
Sun Aug 09 19:30:33 2020,09-Aug-2020,213036,48 23.260900 N,063 22.225000 W,2.6,154.7,A,DoorSpread,DoorMaster,0.000000,E,S,537430.000000
Sun Aug 09 19:30:33 2020,09-Aug-2020,213037,48 23.260200 N,063 22.224600 W,2.7,155.2,A,DoorSpread,DoorMaster,0.000000,E,S,537430.000000
Sun Aug 09 19:30:37 2020,09-Aug-2020,213038,48 23.259500 N,063 22.224400 W,2.6,156.0,A,Primary,Headline,0.346939,D,P,122491.000000
Sun Aug 09 19:30:38 2020,09-Aug-2020,213039,48 23.258900 N,063 22.224300 W,2.5,156.6,A,DoorSpread,DoorMaster,0.000000,E,P,513089.000000
Sun Aug 09 19:30:38 2020,09-Aug-2020,213040,48 23.258300 N,063 22.223900 W,2.6,157.0,A,DoorSpread,DoorMaster,0.000000,E,P,513089.000000
Sun Aug 09 19:30:38 2020,09-Aug-2020,213041,48 23.257600 N,063 22.223600 W,2.6,157.3,A,DoorSpread,DoorMaster,0.000000,E,P,513089.000000
Sun Aug 09 19:30:38 2020,09-Aug-2020,213042,48 23.256800 N,063 22.223200 W,2.7,157.6,A,DoorSpread,DoorMaster,0.000000,E,P,513089.000000
Sun Aug 09 19:30:38 2020,09-Aug-2020,213043,48 23.256000 N,063 22.222800 W,2.8,158.0,A,DoorSpread,DoorMaster,0.000000,E,P,513089.000000
Sun Aug 09 19:30:43 2020,09-Aug-2020,213044,48 23.255100 N,063 22.222300 W,2.9,158.3,A,DoorSpread,DoorMaster,0.000000,E,P,309732.000000
Sun Aug 09 19:30:43 2020,09-Aug-2020,213045,48 23.254200 N,063 22.221700 W,3.0,158.5,A,DoorSpread,DoorMaster,0.000000,E,P,309732.000000
Sun Aug 09 19:30:43 2020,09-Aug-2020,213046,48 23.253300 N,063 22.221100 W,3.2,158.4,A,DoorSpread,DoorMaster,0.000000,E,P,309732.000000
Sun Aug 09 19:30:43 2020,09-Aug-2020,213047,48 23.252300 N,063 22.220300 W,3.3,157.8,A,DoorSpread,DoorMaster,0.000000,E,P,309732.000000
Sun Aug 09 19:30:43 2020,09-Aug-2020,213048,48 23.251300 N,063 22.219700 W,3.5,157.3,A,DoorSpread,DoorMaster,0.000000,E,P,309732.000000
Sun Aug 09 19:30:48 2020,09-Aug-2020,213049,48 23.250200 N,063 22.219100 W,3.7,157.0,A,DoorSpread,DoorMaster,0.000000,E,P,316638.000000
Sun Aug 09 19:30:48 2020,09-Aug-2020,213050,48 23.249100 N,063 22.218600 W,3.7,157.2,A,DoorSpread,DoorMaster,0.000000,E,P,316638.000000
Sun Aug 09 19:30:48 2020,09-Aug-2020,213051,48 23.248100 N,063 22.218100 W,3.9,157.4,A,DoorSpread,DoorMaster,0.000000,E,P,316638.000000
Sun Aug 09 19:30:48 2020,09-Aug-2020,213052,48 23.246900 N,063 22.217400 W,4.1,157.4,A,DoorSpread,DoorMaster,0.000000,E,P,316638.000000
Sun Aug 09 19:30:48 2020,09-Aug-2020,213053,48 23.245600 N,063 22.216400 W,4.2,156.8,A,DoorSpread,DoorMaster,0.000000,E,P,316638.000000
Sun Aug 09 19:30:53 2020,09-Aug-2020,213054,48 23.244400 N,063 22.215400 W,4.4,156.4,A,DoorSpread,DoorMaster,0.000000,E,P,153956.000000
Sun Aug 09 19:30:53 2020,09-Aug-2020,213055,48 23.243000 N,063 22.214400 W,4.5,156.2,A,DoorSpread,DoorMaster,0.000000,E,P,153956.000000
