Ship Number,Trip Number,Tow Number
AVALON  VOYAGER,4,2
Comments
"Zone"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,08-Sep-2020,112340,46 28.296900 N,061 44.866400 W,3.4,10.9,A,,,,,,
Tue Sep 08 09:23:40 2020,08-Sep-2020,112341,46 28.297800 N,061 44.866100 W,3.4,10.9,A,DoorSpread,DoorMaster,0.000000,E,P,1310750.000000
Tue Sep 08 09:23:40 2020,08-Sep-2020,112342,46 28.298700 N,061 44.865900 W,3.3,11.0,A,DoorSpread,DoorMaster,0.000000,E,P,1310750.000000
Tue Sep 08 09:23:40 2020,08-Sep-2020,112343,46 28.299600 N,061 44.865700 W,3.4,11.1,A,DoorSpread,DoorMaster,0.000000,E,P,1310750.000000
Tue Sep 08 09:23:40 2020,08-Sep-2020,112344,46 28.300500 N,061 44.865500 W,3.3,11.1,A,DoorSpread,DoorMaster,0.000000,E,P,1310750.000000
Tue Sep 08 09:23:40 2020,08-Sep-2020,112345,46 28.301500 N,061 44.865200 W,3.4,11.2,A,DoorSpread,DoorMaster,0.000000,E,P,1310750.000000
Tue Sep 08 09:23:46 2020,08-Sep-2020,112346,46 28.302400 N,061 44.865000 W,3.3,11.1,A,DoorSpread,DoorMaster,0.000000,E,S,1076226.000000
Tue Sep 08 09:23:46 2020,08-Sep-2020,112347,46 28.303300 N,061 44.864900 W,3.3,10.9,A,DoorSpread,DoorMaster,0.000000,E,S,1076226.000000
Tue Sep 08 09:23:46 2020,08-Sep-2020,112348,46 28.304300 N,061 44.864700 W,3.4,10.8,A,DoorSpread,DoorMaster,0.000000,E,S,1076226.000000
Tue Sep 08 09:23:46 2020,08-Sep-2020,112349,46 28.305200 N,061 44.864300 W,3.4,10.9,A,DoorSpread,DoorMaster,0.000000,E,S,1076226.000000
Tue Sep 08 09:23:46 2020,08-Sep-2020,112350,46 28.306000 N,061 44.864000 W,3.3,10.9,A,DoorSpread,DoorMaster,0.000000,E,S,1076226.000000
