Ship Number,Trip Number,Tow Number
AVALON VOYAGER,1,4
Comments
"ZONE 12F"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Thu Jul 16 08:45:02 2020,16-Jul-2020,114502,47 49.486400 N,060 40.724300 W,2.3,233.2,A,Primary,Headline,1.714286,D,S,373115.000000
Thu Jul 16 08:45:02 2020,16-Jul-2020,114503,47 49.486000 N,060 40.725200 W,2.4,233.0,A,Primary,Headline,1.714286,D,S,373115.000000
Thu Jul 16 08:45:02 2020,16-Jul-2020,114504,47 49.485600 N,060 40.726000 W,2.3,232.8,A,Primary,Headline,1.714286,D,S,373115.000000
Thu Jul 16 08:45:02 2020,16-Jul-2020,114505,47 49.485200 N,060 40.726500 W,2.1,232.5,A,Primary,Headline,1.714286,D,S,373115.000000
Thu Jul 16 08:45:05 2020,16-Jul-2020,114506,47 49.484800 N,060 40.726900 W,2.1,232.1,A,DoorSpread,DoorMaster,1.895000,D,S,519721.000000
Thu Jul 16 08:45:07 2020,16-Jul-2020,114507,47 49.484400 N,060 40.727500 W,2.1,231.4,A,Primary,Headline,1.408163,D,P,392013.000000
Thu Jul 16 08:45:07 2020,16-Jul-2020,114508,47 49.484000 N,060 40.728100 W,2.2,231.2,A,Primary,Headline,1.489796,D,S,629229.000000
Thu Jul 16 08:45:07 2020,16-Jul-2020,114509,47 49.483600 N,060 40.728800 W,2.2,231.5,A,Primary,Headline,1.489796,D,S,629229.000000
Thu Jul 16 08:45:07 2020,16-Jul-2020,114510,47 49.483300 N,060 40.729500 W,2.2,231.7,A,Primary,Headline,1.489796,D,S,629229.000000
Thu Jul 16 08:45:11 2020,16-Jul-2020,114511,47 49.483000 N,060 40.729900 W,2.0,231.7,A,DoorSpread,DoorMaster,1.750000,D,P,689643.000000
Thu Jul 16 08:45:12 2020,16-Jul-2020,114512,47 49.482800 N,060 40.730300 W,1.9,231.6,A,Primary,Headline,1.673469,D,P,41338.000000
Thu Jul 16 08:45:12 2020,16-Jul-2020,114513,47 49.482400 N,060 40.730700 W,1.9,231.3,A,Primary,Headline,1.734694,D,S,393927.000000
Thu Jul 16 08:45:14 2020,16-Jul-2020,114514,47 49.482100 N,060 40.731300 W,2.0,231.1,A,Depth,Depth,14.351852,D,S,20472.000000
Thu Jul 16 08:45:14 2020,16-Jul-2020,114515,47 49.481700 N,060 40.732000 W,2.0,230.9,A,Depth,Depth,14.351852,D,S,20472.000000
Thu Jul 16 08:45:16 2020,16-Jul-2020,114516,47 49.481400 N,060 40.732500 W,1.9,230.6,A,DoorSpread,DoorMaster,1.975000,D,S,1078287.000000
Thu Jul 16 08:45:17 2020,16-Jul-2020,114517,47 49.481000 N,060 40.733000 W,2.0,230.0,A,Primary,Headline,1.775510,D,P,279476.000000
Thu Jul 16 08:45:17 2020,16-Jul-2020,114518,47 49.480700 N,060 40.733500 W,1.9,229.8,A,Primary,Headline,1.755102,D,S,513573.000000
Thu Jul 16 08:45:17 2020,16-Jul-2020,114519,47 49.480500 N,060 40.734300 W,2.0,230.1,A,Primary,Headline,1.755102,D,S,513573.000000
Thu Jul 16 08:45:17 2020,16-Jul-2020,114520,47 49.480100 N,060 40.735100 W,2.1,230.2,A,Primary,Headline,1.755102,D,S,513573.000000
Thu Jul 16 08:45:21 2020,16-Jul-2020,114521,47 49.479700 N,060 40.735700 W,2.1,229.5,A,Depth,Depth,16.851852,D,S,15987.000000
Thu Jul 16 08:45:21 2020,16-Jul-2020,114522,47 49.479300 N,060 40.736100 W,2.1,228.6,A,DoorSpread,DoorMaster,2.295000,D,S,921293.000000
Thu Jul 16 08:45:22 2020,16-Jul-2020,114523,47 49.478900 N,060 40.736500 W,2.0,227.8,A,Primary,Headline,1.816327,D,P,319330.000000
Thu Jul 16 08:45:22 2020,16-Jul-2020,114524,47 49.478400 N,060 40.737000 W,2.1,226.7,A,Primary,Headline,1.816327,D,P,319330.000000
Thu Jul 16 08:45:22 2020,16-Jul-2020,114525,47 49.478000 N,060 40.737800 W,2.2,225.8,A,Primary,Headline,1.816327,D,P,319330.000000
Thu Jul 16 08:45:22 2020,16-Jul-2020,114526,47 49.477500 N,060 40.738400 W,2.3,225.4,A,Primary,Headline,1.816327,D,P,319330.000000
Thu Jul 16 08:45:27 2020,16-Jul-2020,114527,47 49.477100 N,060 40.739000 W,2.3,225.6,A,DoorSpread,DoorMaster,1.955000,D,S,618837.000000
Thu Jul 16 08:45:28 2020,16-Jul-2020,114528,47 49.476600 N,060 40.739700 W,2.3,225.9,A,Depth,Depth,19.074074,D,S,11588.000000
Thu Jul 16 08:45:28 2020,16-Jul-2020,114529,47 49.476100 N,060 40.740300 W,2.4,225.7,A,Depth,Depth,19.074074,D,S,11588.000000
Thu Jul 16 08:45:28 2020,16-Jul-2020,114530,47 49.475500 N,060 40.740900 W,2.3,225.1,A,Depth,Depth,19.074074,D,S,11588.000000
Thu Jul 16 08:45:28 2020,16-Jul-2020,114531,47 49.475000 N,060 40.741400 W,2.3,224.4,A,Depth,Depth,19.074074,D,S,11588.000000
Thu Jul 16 08:45:32 2020,16-Jul-2020,114532,47 49.474500 N,060 40.742100 W,2.3,223.7,A,DoorSpread,DoorMaster,1.835000,D,S,1049961.000000
Thu Jul 16 08:45:32 2020,16-Jul-2020,114533,47 49.474200 N,060 40.742800 W,2.3,223.4,A,Primary,Headline,2.020408,D,S,354810.000000
Thu Jul 16 08:45:32 2020,16-Jul-2020,114534,47 49.473800 N,060 40.743400 W,2.3,223.3,A,Primary,Headline,2.020408,D,S,354810.000000
Thu Jul 16 08:45:35 2020,16-Jul-2020,114535,47 49.473500 N,060 40.744100 W,2.2,223.9,A,Depth,Depth,20.185185,D,S,10521.000000
Thu Jul 16 08:45:35 2020,16-Jul-2020,114536,47 49.473300 N,060 40.744800 W,2.2,224.9,A,Depth,Depth,20.185185,D,S,10521.000000
